Symbol,beta,dy,pe,roe
BFST,0.2576217193299557,0.031400003,6.9773755,0.107030004
BGFV,0.09920355458248559,0.1285,6.512397,0.0975
AMH,0.5272093434152616,0.0273,62.75472,0.04457
CMTL,0.18875808741694813,0.038599998,11.500001,-0.037520003
AMP,0.4430602945482864,0.0185,9.226489,0.46995997
ARC,0.07713371343468652,0.0654,8.941176,0.06845
CHH,0.4106031055718255,0.0091,20.113564,1.57964
ABM,0.3502488319383912,0.0215,10.890026,0.11375
CMCT,0.12289205305863087,0.0723,-8.45283,0.01507
BLFS,0.15262283560842016,nan,-175.59999,-0.33199
CACI,0.4866592701532657,nan,15.595819,0.119619995
ANAB,0.1426271577472371,nan,-4.319502,-0.41622
BLDR,0.2874993403586484,nan,12.876358,0.56310004
AVY,0.4857473608415386,0.0182,16.601332,nan
APVO,0.03145948503897284,nan,-0.40938166,0.731
CAG,0.33096602703607736,0.0346,13.226481,0.090450004
BRO,0.6050375935890843,0.0073,23.245487,nan
AJRD,0.3160739504322197,nan,24.314655,0.13902001
CPAC,0.09434612778148294,0.1014,45.0,0.14791
ABEO,0.06616561871210618,nan,-1.550505,-1.14846
ABC,0.49067968230678793,0.0117,13.316042,5.01955
CRGE,0.028483826702105707,nan,-7.066666,-0.96134
BLKB,0.2992544141791571,nan,17.42588,-0.06215
AXNX,0.22980117584294585,nan,-319.2222,-0.11343
ARCH,0.11779003063588855,0.0084,3.8119738,1.2988
AKAM,0.4132683929906238,nan,13.638935,0.11781
AMED,0.24036799533097655,nan,16.976746,0.11301
AEO,0.21229188993362225,0.030299999,10.626985,0.08279
AAT,0.351011429191212,0.0738,24.266668,nan
CPA,0.20398068055026572,0.0381,6.6362967,0.24937001
AQMS,0.08456419683681878,nan,-11.5,-0.637
ACB,0.07289216099459474,nan,-3.5294118,-1.37276
ARGO,0.2528186144091803,nan,7.698953,-0.11806
AXS,0.42112571530005616,0.0312,6.521338,0.04439
AHT,0.029026209396428283,nan,-0.7249467,nan
CALB,0.14534424534195198,nan,6.6641507,0.13069999
BLCM,0.0451176844150423,nan,-1.1290323,-0.79937
CHRD,-2.124040329687451e-05,0.075100005,5.0489535,0.48479
AZN,0.4119221064711548,0.0197,17.228235,0.08627
ARDS,0.025030562974937404,nan,-0.22197531,nan
ATEX,0.17588773321632767,nan,-14.225225,-0.24179001
AAOI,0.10745961612023311,nan,-97.00001,-0.30233
AMPY,0.07188825652235233,nan,12.339286,nan
BJRI,0.17243968743144006,nan,31.592236,0.012
ADI,0.5132602070026279,0.019,16.442413,0.09275
AY,0.3604953534015591,0.0653,60.500004,-0.00118
BKNG,0.3925904741723553,nan,17.253117,0.68259
CRH,0.4460294295397021,0.026300002,269.44443,0.124110006
CPRX,0.2043662570731829,nan,8.513369,0.32756
AMSC,0.14016893125838523,nan,-10.945947,-0.33163
BKH,0.45356237722966514,0.0385,16.784061,0.09060001
CPLP,0.21171537721301756,0.0469,3.2570693,0.21552
AMPH,0.2276366184003694,nan,15.418104,0.18761998
CDNA,0.14685903213964016,nan,-24.51515,-0.17086
AES,0.38749496104825887,0.0278,12.322917,-0.0867
